Sports,Quiz-1,Soccer,1,Who is Neymar JR?,Racer,Footballer,Chef,Crock,b
Sports,Quiz-1,Soccer,2,Who has the most Balon Do'rs?,Neymar,Messi,Ronaldo,Stalin,b
Sports,Quiz-1,Soccer,3,Which team is the best in history?,Man United,Real Madrid,PSG,Arsenal,c
Sports,Quiz-1,Soccer,4,Where was the 2018 World Cup held at?,Stalingrad,Russia,Columbia,Singapore,b
Sports,Quiz-1,Soccer,5,Shoud Fred win the ballon do'r?,Yes,No,Maybe,Definitely,d
Sports,Quiz-1,Hockey,6,What are you a natural at?,f,g,h,j,d
Sports,Quiz-1,Hockey,7,What are you not natural at?,ac,av,ac,af,a
Sports,Quiz-1,Hockey,8,If you were a vegetable?,j,k,l,o,a
Sports,Quiz-1,Hockey,9,What's the last book you gave up on and stopped reading?,a,b,c,d,d
Sports,Quiz-1,Hockey,10,What do you like most about your family?,d,f,g,h,a
Sports,Quiz-2,Diet,1,If you could choose to be famous for something?,a,b,c,d,d
Sports,Quiz-2,Diet,2,What's something that you use regularly that you wish you didn't have to?,j,k,l,o,a
Sports,Quiz-2,Diet,3,Who was the last person you made happy and what did you do to do it?,Stalingrad,Russia,Columbia,Singapore,b
Sports,Quiz-2,Diet,4,What is something that you find mildly annoying?,j,k,l,o,a
Sports,Quiz-2,Diet,5,In emergency situations?,j,k,l,o,a
Sports,Quiz-2,Diet,6,What do you think is the most valuable resource?,j,k,l,o,a
Sports,Quiz-2,Diet,7,Are there any words that you simply can't stand?,j,k,l,o,a
Sports,Quiz-2,Diet,8,What food have you never tried?,j,k,l,o,a
Sports,Quiz-2,Diet,9,What do you do in secret that you're proud of?,j,k,l,o,a
Sports,Quiz-2,Diet,10,If you could change the color of one thing?,j,k,l,o,a
Sports,Quiz-3,Diet,11,If you could change the color of one thing?,j,k,l,o,a
